epoch,error
1,163.67848736650112
2,133.280165785845
3,110.13404808300864
4,92.51038054461169
5,79.0919258897254
6,68.8755922359259
7,61.097519275477445
8,55.176028257165086
9,50.66817610856565
10,47.23666974674998
11,44.62467014460086
12,42.636604795333504
13,41.12355582939139
14,39.97213267876273
15,39.09599836076772
16,38.42941659132409
17,37.92233782965974
18,37.53665726811928
19,37.24336529152881
20,37.02037757425015
21,36.85088273531624
22,36.722084122202155
23,36.6242417275972
24,36.54994265865146
25,36.49354564820023
26,36.45075809696824
27,36.41831403535823
28,36.393728932320144
29,36.37511301990382
30,36.361029174118315
31,36.35038472212212
32,36.34234908118118
33,36.336291065586906
34,36.33173116801994
35,36.32830524148085
36,36.32573686050849
37,36.32381628965309
38,36.32238448156
39,36.32132090348189
40,36.32053427769791
41,36.31995553959348
42,36.31953248335725
43,36.319225691798124
44,36.319005443138394
45,36.31884936099819
46,36.31874062963767
47,36.31866663904427
48,36.31861795682068
49,36.31858754847131
50,36.31857018644025
51,36.31856200253036
52,36.318560149197666
53,36.31856254348416
54,36.31856767364308
55,36.31857445329833
56,36.31858211162048
57,36.31859011077165
58,36.31859808397861
59,36.3186057891934
60,36.31861307451973
61,36.31861985250724
62,36.318626081118545
63,36.318631749708736
64,36.31863686876037
65,36.31864146242573
66,36.31864556316077
67,36.3186492079111
68,36.31865243544534
69,36.318655284531026
70,36.318657792726135
71,36.31865999561535
72,36.31866192636546
73,36.31866361550562
74,36.31866509086382
75,36.31866637760853
76,36.3186674983591
77,36.31866847333824
78,36.31866932054742
79,36.31867005595252
80,36.318670693670036
81,36.31867124614824
82,36.31867172433915
83,36.31867213785913
84,36.31867249513723
85,36.318672803550236
86,36.3186730695453
87,36.318673298750156
88,36.318673496071895
89,36.31867366578483
90,36.31867381160876
91,36.31867393677811
92,36.31867404410291
93,36.318674136022814
94,36.318674214654166
95,36.31867428183174
96,36.31867433914507
97,36.31867438797024
98,36.31867442949791
99,36.31867446475745
100,36.31867449463835
